  20 04 55 56.0324 +04 40 10.482 Gaia DR3 3239548665775613056 HD  31412                        HIP 22919   6.89          5.63        0.719 27.86 F9.5V           1.067 5p  53 9 0.188 1.289 0.158 0.059 0.073 0.127 2.1e-03    3.1  5.5 2.15  59.80 WDS J04559+0440A  0 0
  21 00 05 31.2550 -09 37 04.061 Gaia DR3 2428706669045383808 HD     63                        HIP 462     7.02   7.13   6.01  0.450 0.604 20.17 F6V             1.229 5p  36 9 0.228 1.363 0.164 0.064 0.077 0.166 1.9e-04    3.7 10.9 2.25  45.36                   0 0
  22 08 35 51.1199 +06 37 19.760 Gaia DR3  594989417312890368 HD  72946                        HIP 42173   7.02          5.50        0.873 38.98 G8-V            0.874 5p  49 9 0.256 1.887 0.151 0.065 0.077 0.261 0.0e+00 9999.0  7.0 2.01  78.27 WDS J08358+0637B  1 0
  23 02 12 55.0848 +40 40 04.556 Gaia DR3  333106054183616000 V* V450 And                      HIP 10321   7.03   7.21   5.57  0.670 0.844 37.89 G5V             0.911 5p  20 9 0.443 3.023 0.152 0.065 0.069 0.437 0.0e+00 9999.0 12.5 2.04  77.14                   0 0
  24 06 04 46.5164 -48 27 30.237 Gaia DR3 5554191685020871424 HD  41824A                                   7.04   7.22         0.710 0.975 32.61 G2VHdel-1       0.911 5p  33 9 0.315 2.015 0.151 0.065 0.077 0.287 0.0e+00 9999.0  9.5 2.04  66.39 WDS J06048-4828A  0 0
  25 11 55 01.7287 -56 05 48.727 Gaia DR3 5343737016229657856 HD 103493A                                   7.07   7.29   5.23  0.602 0.813 31.79 G0V             0.918 5p  51 9 0.312 1.869 0.153 0.067 0.076 0.260 0.0e+00 9999.0  8.9 2.04  64.89 WDS J11550-5606A  0 0
  26 08 39 43.9926 +05 45 46.581 Gaia DR3  594641009565720192 HD  73668                        HIP 42488   7.11          5.79        0.760 28.23 G1V             0.998 5p  67 9 0.215 1.415 0.155 0.068 0.077 0.166 0.0e+00    5.3  6.8 2.10  59.24 WDS J08397+0546A  1 0
  27 04 41 37.0842 +42 06 59.785 Gaia DR3  204358907633155840 HD  29587                        HIP 21832   7.11   7.28   5.65  0.610 0.820 36.65 G2V             0.936 5p  46 9 0.269 1.823 0.153 0.068 0.072 0.241 0.0e+00    7.9  7.2 2.05  75.28                   0 0
  28 14 02 20.3910 +36 06 41.289 Gaia DR3 1483443912623118848 HD 122637                        HIP 68576   7.11   7.23   6.01  0.460 0.633 12.17 F5              1.507 5p 103 9 0.178 1.184 0.161 0.067 0.076 0.107 2.2e-03    3.1 13.3 2.41  29.31                   0 0
  29 03 48 00.4487 +40 31 50.641 Gaia DR3  224870885460646016 HD  23596                        HIP 17747   7.12   7.24   5.87  0.610 0.745 19.32 F8              1.098 5p  42 9 0.211 1.345 0.156 0.068 0.072 0.142 7.1e-04    3.4  9.0 2.17  41.87 WDS J03480+4032A  0 1
